"","Estimate","Std. Error","z-value","Pr(>|z|)"
"WaitTime_std",-0.0944697079579174,0.0261103580138357,-3.61809316853712,0.00029678156602464
"wt_low",-0.0135154836641881,0.0411445609667457,-0.328487735599165,0.742542915880807
"wt_neutral",-0.0974570342287165,0.0356960023701379,-2.73019463687189,0.00632969426354579
